"day","trt","depth","Mg.ha.day","Mg.ha.day.se"
"1559","CS","30",0.148463162916824,0.00616651036137048
"1559","CS","5",0.143716162873978,0.00154959026582118
"1559","CS","60",0.233639174253385,0.0107186875750825
"1559","P","100",0.780306598813491,0.0655393925585717
"1559","P","15",2.57837641737525,0.0761487026762309
"1559","P","30",1.2796550638954,0.0678727333933232
"1559","P","5",4.02719872742044,0.0486788500295365
"1559","P","60",1.32290031147392,0.0682195702583874
"1559","PF","100",0.621083203699827,0.0404090695671381
"1559","PF","15",1.43791891044141,0.124748956034912
"1559","PF","30",0.799930676932173,0.0677784297687301
"1559","PF","5",2.00976689506451,0.0326108381675537
"1559","PF","60",0.825588051153993,0.0574623177789966
"1559","SC","100",0.279668437513467,0.0131554117842212
"1559","SC","15",0.178106782533083,0.0113848228851466
"1559","SC","30",0.158200504503909,0.00757109050623338
"1559","SC","5",0.147839070236657,0.00450200057655898
"1559","SC","60",0.240188690912956,0.00796453094782511
"1560","CC","100",0.345765056444969,0.0247290488171074
"1560","CC","15",0.29196370263322,0.0100834266692997
"1560","CC","30",0.237025408688522,0.00547553199680125
"1560","CC","5",0.153850824901462,0.00203258362498147
"1560","CC","60",0.40645229879364,0.019946710057049
"1560","CCW","100",0.375599689864048,0.0365067869087174
"1560","CCW","15",0.464747906839053,0.0525759298114384
"1560","CCW","30",0.309874953439745,0.0285858544192896
"1560","CCW","5",0.162903929977089,0.00331245485322734
"1560","CCW","60",0.473560462177099,0.0149753689863801
"1560","CS","100",0.241777774350074,0.021726876512455
"1560","CS","15",0.192792682538689,0.0150826813206102
"1560","CS","30",0.148652169478867,0.00617387188663848
"1560","CS","5",0.143727272094774,0.00154942291597594
"1560","CS","60",0.233862578593271,0.0107281382986466
"1560","P","100",0.780998965603252,0.065586619029137
"1560","P","15",2.57893434628942,0.0761775989287111
"1560","P","30",1.28055145342709,0.0678777578185418
"1560","P","5",4.02719877575129,0.0486788506135582
"1560","P","60",1.32365760160217,0.0682272354822214
"1560","PF","100",0.621655523566418,0.0404412570710968
"1560","PF","15",1.43836405098569,0.124767015851431
"1560","PF","30",0.800680920158534,0.0678127357939365
"1560","PF","5",2.00976691918751,0.0326108385589207
"1560","PF","60",0.826203659976229,0.0574886764222854
"1560","SC","100",0.279945940756949,0.0131676622857226
"1560","SC","15",0.178178597267068,0.0113891112986433
"1560","SC","30",0.158401108904103,0.00758009065782658
"1560","SC","5",0.147849751328632,0.00450152883663886
"1560","SC","60",0.240417865347835,0.0079714727194908
"1561","CC","100",0.346103246259603,0.0247513075672279
"1561","CC","15",0.292077359462032,0.0100870958457257
"1561","CC","30",0.237316671153212,0.00548163331082387
"1561","CC","5",0.153860825276022,0.00203237673280981
"1561","CC","60",0.406816189263221,0.0199616775096261
"1561","CCW","100",0.375964369596701,0.0365396298754984
"1561","CCW","15",0.464921704172133,0.0525945516936294
"1561","CCW","30",0.31024323239645,0.0286155275368084
"1561","CCW","5",0.162913031986067,0.0033121398138636
"1561","CCW","60",0.473973578227384,0.014985947959155
"1561","CS","100",0.242019349422284,0.0217474681467288
"1561","CS","15",0.192870456418967,0.0150885630431967
"1561","CS","30",0.148841402493786,0.00618124099068853
"1561","CS","5",0.143738336728088,0.00154925619405917
"1561","CS","60",0.234086178192503,0.0107375957428729
"1561","P","100",0.781691835148321,0.06563386055321
"1561","P","15",2.5794908815109,0.076206460237436
"1561","P","30",1.28144789909835,0.067882721914274
"1561","P","5",4.02719882355968,0.0486788511912665
"1561","P","60",1.3244149768434,0.0682348656679207
"1561","PF","100",0.622228297682359,0.0404734607852608
"1561","PF","15",1.43880815882961,0.124785023447949
"1561","PF","30",0.801431565145173,0.0678470070947492
"1561","PF","5",2.00976694304975,0.0326108389460569
"1561","PF","60",0.826819549540369,0.0575150223848308
"1561","SC","100",0.280223703438094,0.0131799226521077
"1561","SC","15",0.178250258435323,0.0113933903046184
"1561","SC","30",0.158601951630369,0.00758909997811126
"1561","SC","5",0.147860389465828,0.00450105888823208
"1561","SC","60",0.240647239137599,0.00797841927283813
"1562","CC","100",0.346441742704539,0.0247735827514497
"1562","CC","15",0.29219077009538,0.0100907568909335
"1562","CC","30",0.2376082567852,0.00548773984685277
"1562","CC","5",0.153870785270325,0.00203217063441835
"1562","CC","60",0.407180353529636,0.0199766510664943
"1562","CCW","100",0.376329374803261,0.0365724970772551
"1562","CCW","15",0.465095119751378,0.0526131319155798
"1562","CCW","30",0.310611890600815,0.0286452209302562
"1562","CCW","5",0.162922097081979,0.00331182600248566
"1562","CCW","60",0.474386986109783,0.0149965300716684
"1562","CS","100",0.242261153698251,0.0217680770898469
"1562","CS","15",0.192948064018808,0.0150944320313843
"1562","CS","30",0.149030862196829,0.00618861767823765
"1562","CS","5",0.143749356945907,0.00154909009800618
"1562","CS","60",0.234309973186654,0.0107470599094251
"1562","P","100",0.782385207617144,0.0656811171007965
"1562","P","15",2.58004602585334,0.0762352864682938
"1562","P","30",1.28234440011958,0.0678876256629089
"1562","P","5",4.02719887085126,0.0486788517627295
"1562","P","60",1.32517243681171,0.0682424607996164
"1562","PF","100",0.622801526273812,0.0405056807000409
"1562","PF","15",1.43925123564428,0.124802978966996
"1562","PF","30",0.802182611549541,0.0678812435754533
"1562","PF","5",2.00976696665403,0.0326108393290083
"1562","PF","60",0.82743571971105,0.0575413556269091
"1562","SC","100",0.280501725767875,0.0131921928882533
"1562","SC","15",0.178321766219932,0.0113976599154745
"1562","SC","30",0.158803032925165,0.00759811847253025
"1562","SC","5",0.147870984814639,0.00450059072526447
"1562","SC","60",0.240876812418824,0.00798537060871896
"1563","CC","100",0.346780546010646,0.0247958743748507
"1563","CC","15",0.292303934841817,0.0100944098160943
"1563","CC","30",0.237900165857664,0.00549385160543723
"1563","CC","5",0.153880705042125,0.00203196532704744
"1563","CC","60",0.407544791705994,0.019991630720716
"1563","CCW","100",0.376694705718869,0.0366053885215034
"1563","CCW","15",0.465268154083225,0.0526316705365593
"1563","CCW","30",0.310980928305271,0.0286749345880181
"1563","CCW","5",0.162931125410354,0.00331151341466081
"1563","CCW","60",0.474800685910963,0.0150071153169645
"1563","CS","100",0.242503187371173,0.0217887033519479
"1563","CS","15",0.193025505535223,0.0151002883010983
"1563","CS","30",0.149220548823397,0.0061960019539973
"1563","CS","5",0.143760332919609,0.0015489246257566
"1563","CS","60",0.234533963711328,0.0107565307999604
"1563","P","100",0.783079083177864,0.0657283886418342
"1563","P","15",2.58059978212836,0.0762640774884852
"1563","P","30",1.28324095570099,0.0678924690470483
"1563","P","5",4.02719891763161,0.0486788523280149
"1563","P","60",1.32592998112103,0.0682500208615093
"1563","PF","100",0.6233752095668,0.0405379168058078
"1563","PF","15",1.43969328310198,0.124820882550786
"1563","PF","30",0.802934059028026,0.0679154451403537
"1563","PF","5",2.00976699000315,0.0326108397078199
"1563","PF","60",0.828052170352492,0.0575676761087852
"1563","SC","100",0.280780007957376,0.0132044729990325
"1563","SC","15",0.178393120803531,0.0114019201436416
"1563","SC","30",0.159004353031092,0.00760714614651897
"1563","SC","5",0.147881537540864,0.00450012434167628
"1563","SC","60",0.241106585328108,0.00799232672797985
"1564","CC","100",0.347119656408873,0.0248181824424953
"1564","CC","15",0.292416854010687,0.0100980546324004
"1564","CC","30",0.238192398643803,0.00549996858711522
"1564","CC","5",0.153890584748601,0.00203176080794461
"1564","CC","60",0.407909503905282,0.0200066164653339
"1564","CCW","100",0.377060362578731,0.0366383042157395
"1564","CCW","15",0.465440807675189,0.0526501676159326
"1564","CCW","30",0.311350345762084,0.0287046684984037
"1564","CCW","5",0.162940117116176,0.00331120204596939
"1564","CCW","60",0.4752146777174,0.0150177036880728
"1564","CS","100",0.24274545063436,0.0218093469431671
"1564","CS","15",0.193102781165821,0.0151061318683054
"1564","CS","30",0.14941046260904,0.00620339382267356
"1564","CS","5",0.143771264819969,0.00154875977525441
"1564","CS","60",0.234758149902153,0.0107660084161298
"1564","P","100",0.783773461998321,0.0657756751461931
"1564","P","15",2.58115215314548,0.076292833166519
"1564","P","30",1.28413756505261,0.0678972520495065
"1564","P","5",4.02719896390627,0.0486788528871892
"1564","P","60",1.32668760938511,0.0682575458378713
"1564","PF","100",0.623949347787204,0.0405701690928914
"1564","PF","15",1.4401343028761,0.124838734341222
"1564","PF","30",0.803685907235955,0.067949611693776
"1564","PF","5",2.00976701309987,0.0326108400825364
"1564","PF","60",0.828668901328498,0.0575939837907121
"1564","SC","100",0.281058550217788,0.0132167629893139
"1564","SC","15",0.178464322369299,0.011406171001576
"1564","SC","30",0.159205912190894,0.00761618300550538
"1564","SC","5",0.147892047809714,0.00449965973142222
"1564","SC","60",0.241336558002074,0.00799928763146222
"1565","CC","100",0.34745907413025,0.0248405069594339
"1565","CC","15",0.292529527912121,0.0101016913510643
"1565","CC","30",0.238484955416831,0.00550609079241348
"1565","CC","5",0.153900424546363,0.00203155707436458
"1565","CC","60",0.40827449024036,0.0200216082933704
"1565","CCW","100",0.377426345618112,0.0366712441674392
"1565","CCW","15",0.465613081035848,0.0526686232131587
"1565","CCW","30",0.311720143223357,0.0287344226496474
"1565","CCW","5",0.162949072343897,0.0033108918920048
"1565","CCW","60",0.475628961615376,0.0150282951780075
"1565","CS","100",0.24298794368124,0.0218300078736365
"1565","CS","15",0.193179891108798,0.015111962749013
"1565","CS","30",0.149600603789463,0.00621079328896692
"1565","CS","5",0.143782152817161,0.0015485955444479
"1565","CS","60",0.234982531894783,0.0107754927595779
"1565","P","100",0.784468344246051,0.0658229765836751
"1565","P","15",2.58170314171217,0.0763215533722046
"1565","P","30",1.28503422738428,0.0679019746533104
"1565","P","5",4.0271990096807,0.0486788534403187
"1565","P","60",1.32744532121753,0.068265035713044
"1565","PF","100",0.624523941160765,0.040602437551581
"1565","PF","15",1.44057429664115,0.124856534479891
"1565","PF","30",0.804438155827591,0.0679837431400666
"1565","PF","5",2.00976703594692,0.0326108404532024
"1565","PF","60",0.829285912502452,0.0576202786329319
"1565","SC","100",0.281337352760411,0.0132290628639625
"1565","SC","15",0.178535371100954,0.011410412501761
"1565","SC","30",0.159407710647458,0.00762522905490993
"1565","SC","5",0.147902515785809,0.00449919688847154
"1565","SC","60",0.241566730577365,0.0080062533200023
"1566","CC","100",0.347798799405889,0.0248628479307036
"1566","CC","15",0.292641956857029,0.010105319983319
"1566","CC","30",0.238777836449983,0.00551221822184741
"1566","CC","5",0.153910224591451,0.00203135412356929
"1566","CC","60",0.408639750823966,0.0200366061978279
"1566","CCW","100",0.377792655072342,0.0367042083840587
"1566","CCW","15",0.465784974674838,0.0526870373877896
"1566","CCW","30",0.312090320941025,0.0287641970299083
"1566","CCW","5",0.162957991237427,0.0033105829483734
"1566","CCW","60",0.476043537690983,0.0150388897797681
"1566","CS","100",0.243230666705352,0.0218506861534847
"1566","CS","15",0.193256835562939,0.015117780959269
"1566","CS","30",0.149790972600522,0.00621820035757225
"1566","CS","5",0.143792997080754,0.00154843193128979
"1566","CS","60",0.235207109824899,0.0107849838319429
"1566","P","100",0.785163730088285,0.0658702929240141
"1566","P","15",2.58225275063376,0.0763502379766487
"1566","P","30",1.28593094190564,0.0679066368416998
"1566","P","5",4.0271990549603,0.0486788539874689
"1566","P","60",1.32820311623171,0.0682724904714398
"1566","PF","100",0.625098989913086,0.040634722172125
"1566","PF","15",1.44101326607271,0.124874283108066
"1566","PF","30",0.805190804456137,0.0680178393835937
"1566","PF","5",2.00976705854699,0.0326108408198613
"1566","PF","60",0.82990320373732,0.057646560595675
"1566","SC","100",0.281616415796653,0.0132413726278386
"1566","SC","15",0.178606267182753,0.0114146446567059
"1566","SC","30",0.159609748643812,0.00763428430014559
"1566","SC","5",0.147912941633181,0.00449873580680796
"1566","SC","60",0.241797103190646,0.00801322379443103
"1567","CC","100",0.348138832466981,0.024885205361327
"1567","CC","15",0.292754141157089,0.0101089405404176
"1567","CC","30",0.239071042016508,0.00551835087592101
"1567","CC","5",0.153919985039337,0.00203115195282787
"1567","CC","60",0.40900528576871,0.0200516101716887
"1567","CCW","100",0.378159291176811,0.0367371968730336
"1567","CCW","15",0.465956489102836,0.0527054101994693
"1567","CCW","30",0.312460879166858,0.0287939916272694
"1567","CCW","5",0.162966873940145,0.0033102752106946
"1567","CCW","60",0.476458406030119,0.0150494874863388
"1567","CS","100",0.243473619900353,0.021871381792837
"1567","CS","15",0.193333614727609,0.0151235865151613
"1567","CS","30",0.149981569278224,0.00622561503317894
"1567","CS","5",0.14380379777972,0.00154826893373711
"1567","CS","60",0.235431883828207,0.0107944816348567
"1567","P","100",0.785859619691948,0.0659176241368763
"1567","P","15",2.58280098271349,0.0763788868522485
"1567","P","30",1.28682770782616,0.0679112385981274
"1567","P","5",4.02719909975043,0.0486788545287039
"1567","P","60",1.32896099404088,0.0682799100975419
"1567","PF","100",0.625674494269626,0.0406670229447313
"1567","PF","15",1.44145121284744,0.124891980366709
"1567","PF","30",0.805943852773731,0.0680519003287474
"1567","PF","5",2.00976708090276,0.0326108411825567
"1567","PF","60",0.83052077489565,0.0576728296391608
"1567","SC","100",0.281895739538031,0.0132536922857987
"1567","SC","15",0.178677010799481,0.0114188674789459
"1567","SC","30",0.159812026423128,0.0076433487466177
"1567","SC","5",0.147923325515277,0.00449827648042977
"1567","SC","60",0.242027675978606,0.00802019905557419
"1568","CC","100",0.348479173544801,0.0249075792563135
"1568","CC","15",0.292866081124747,0.0101125530336329
"1568","CC","30",0.239364572389674,0.00552448875512695
"1568","CC","5",0.153929706044928,0.00203095055941665
"1568","CC","60",0.409371095187077,0.020066620207915
"1568","CCW","100",0.378526254166969,0.0367702096417796
"1568","CCW","15",0.466127624831554,0.0527237417079321
"1568","CCW","30",0.312831818152458,0.0288238064297384
"1568","CCW","5",0.162975720594899,0.00330996867460079
"1568","CCW","60",0.476873566718489,0.015060088290689
"1568","CS","100",0.24371680346001,0.0218920948018152
"1568","CS","15",0.193410228802747,0.0151293794328176
"1568","CS","30",0.150172394058728,0.0062330373204707
"1568","CS","5",0.143814555082429,0.00154810654975132
"1568","CS","60",0.235656854040441,0.0108039861699445
"1568","P","100",0.78655601322366,0.0659649701918594
"1568","P","15",2.58334784075242,0.0764074998726867
"1568","P","30",1.28772452435514,0.0679157799062591
"1568","P","5",4.02719914405638,0.0486788550640882
"1568","P","60",1.32971895425811,0.0682872945759037
"1568","PF","100",0.6262504544557,0.0406993398595666
"1568","PF","15",1.44188813864301,0.124909626396465
"1568","PF","30",0.806697300431448,0.0680859258799404
"1568","PF","5",2.00976710301686,0.0326108415413315
"1568","PF","60",0.831138625839573,0.0576990857235976
"1568","SC","100",0.282175324196171,0.0132660218426949
"1568","SC","15",0.178747602136451,0.0114230809810421
"1568","SC","30",0.16001454422872,0.00765242239972405
"1568","SC","5",0.14793366759496,0.00449781890334974
"1568","SC","60",0.242258449077955,0.00802717910425227
"1569","CC","100",0.348819822870702,0.0249299696206582
"1569","CC","15",0.2929777770732,0.0101161574742575
"1569","CC","30",0.239658427842764,0.00553063185994647
"1569","CC","5",0.153939387762565,0.00203074994061915
"1569","CC","60",0.409737179191429,0.0200816362994488
"1569","CCW","100",0.378893544278329,0.036803246697692
"1569","CCW","15",0.466298382373723,0.0527420319730023
"1569","CCW","30",0.313203138149258,0.0288536414252469
"1569","CCW","5",0.162984531344001,0.00330966333573728
"1569","CCW","60",0.477289019841604,0.0150706921857731
"1569","CS","100",0.243960217578208,0.0219128251905376
"1569","CS","15",0.193486677988866,0.015135159728405
"1569","CS","30",0.150363447178345,0.00624046722412554
"1569","CS","5",0.143825269156659,0.00154794477729828
"1569","CS","60",0.235882020597359,0.0108134974388255
"1569","P","100",0.787252910849734,0.0660123310584933
"1569","P","15",2.58389332754946,0.0764360769129258
"1569","P","30",1.28862139070169,0.0679202607499737
"1569","P","5",4.02719918788337,0.0486788555936849
"1569","P","60",1.3304769964963,0.0682946438911495
"1569","PF","100",0.626826870696484,0.0407316729067573
"1569","PF","15",1.44232404513812,0.124927221337667
"1569","PF","30",0.807451147079304,0.0681199159416084
"1569","PF","5",2.00976712489191,0.0326108418962276
"1569","PF","60",0.831756756430801,0.0577253288091826
"1569","SC","100",0.282455169982806,0.0132783613033754
"1569","SC","15",0.178818041379498,0.011427285175581
"1569","SC","30",0.160217302304044,0.0076615052648548
"1569","SC","5",0.147943968034509,0.00449736306959532
"1569","SC","60",0.242489422625424,0.00803416394128054
"1570","CC","100",0.349160780676118,0.0249523764593426
"1570","CC","15",0.293089229316398,0.0101197538736032
"1570","CC","30",0.239952608649075,0.00553678019084933
"1570","CC","5",0.153949030346027,0.00203055009372611
"1570","CC","60",0.410103537893999,0.0200966584392121
"1570","CCW","100",0.379261161746466,0.036836308048146
"1570","CCW","15",0.466468762243087,0.0527602810545923
"1570","CCW","30",0.31357483940852,0.0288834966016505
"1570","CCW","5",0.162993306329239,0.0033093591897624
"1570","CCW","60",0.477704765484781,0.0150812991645302
"1570","CS","100",0.244203862448943,0.0219335729691192
"1570","CS","15",0.193562962487041,0.0151409274181292
"1570","CS","30",0.150554728873536,0.00624790474881589
"1570","CS","5",0.143835940169591,0.00154778361434825
"1570","CS","60",0.236107383634745,0.0108230154431122
"1570","P","100",0.787950312736174,0.0660597067062399
"1570","P","15",2.58443744590133,0.0764646178492031
