"year" "plot" "trt" "depth" "BD" "TN" "TC" "IC" "OC" "CN" "oCN"
"2008" "41" "PF" "15" 1.4086504785 0.24239113125 2.855503947 0 2.855503947 11.758530005 11.758530005
"2008" "41" "PF" "30" 1.52594662125 0.18944282025 2.3407619665 0 2.3407619665 12.5285506475 12.5285506475
"2008" "41" "PF" "60" 1.5430156655 0.08065 1.2535 0.38 0.8735 16.22368772 10.75606182
"2008" "41" "PF" "100" 1.586799363 0.0364 1.748 1.38 0.368 52.02209596 10.6426767655
"2008" "42" "CCW" "5" 1.2361373065 0.21030857 2.47930127375 0 2.47930127375 11.7848946975 11.7848946975
"2008" "42" "CCW" "15" 1.45913001275 0.19933000975 2.314793425 0 2.314793425 11.6090439675 11.6090439675
"2008" "42" "CCW" "30" 1.47610632975 0.1632509525 1.9290821135 0 1.9290821135 11.74717603 11.74717603
"2008" "42" "CCW" "60" 1.4102458585 0.0991 1.03105 0 1.03105 10.380769945 10.380769945
"2008" "42" "CCW" "100" 1.6785543935 0.0457 1.10315 0.79 0.31315 22.250608856 6.823776329
"2008" "43" "CC" "5" 1.37079323725 0.20288123175 2.36141833025 0 2.36141833025 11.5968773625 11.5968773625
"2008" "43" "CC" "15" 1.41423053075 0.162773117 1.84142366775 0 1.84142366775 11.269208835 11.269208835
"2008" "43" "CC" "30" 1.6013217795 0.13228606075 1.52197485325 0 1.52197485325 11.56012628 11.56012628
"2008" "43" "CC" "60" 1.5287663395 0.07995 0.9525 0.24 0.7125 11.95007512 8.8888506315
"2008" "43" "CC" "100" 1.6226557885 0.0388 1.1152 0.875 0.2402 30.9352237295 6.056054969
"2008" "44" "S2" "5" 1.2243810325 0.19831127025 2.217828308 0 2.217828308 11.190230895 11.190230895
"2008" "44" "S2" "15" 1.48980338575 0.19025312975 2.107976934 0 2.107976934 11.08719314 11.08719314
"2008" "44" "S2" "30" 1.54806993075 0.16739522275 1.94164104225 0 1.94164104225 11.587920335 11.587920335
"2008" "44" "S2" "60" 1.413005781 0.1546 1.70565 0.01 1.69565 10.482266251 10.436373641
"2008" "44" "S2" "100" 1.436123293 0.06635 1.281 0.63 0.651 21.816087335 9.011209288
"2008" "45" "C2" "5" 1.38361133175 0.156072707 1.69128692125 0 1.69128692125 10.75606575375 10.75606575375
"2008" "45" "C2" "15" 1.45392539 0.142717691 1.5772273735 0 1.5772273735 10.984419035 10.984419035
"2008" "45" "C2" "30" 1.5179793405 0.138606474 1.54801639625 0 1.54801639625 11.07852278 11.07852278
"2008" "45" "C2" "60" 1.513570671 0.08045 0.76315 0 0.76315 9.426170832 9.426170832
"2008" "45" "C2" "100" 1.465231486 0.0301 0.4962 0.23 0.2662 15.148367335 9.310803883
"2008" "46" "P" "5" 1.31065648875 0.1592696825 1.6934378465 0 1.6934378465 10.6096479025 10.6096479025
"2008" "46" "P" "15" 1.5631166605 0.13911551 1.46696479875 0 1.46696479875 10.5329230425 10.5329230425
"2008" "46" "P" "30" 1.5511876595 0.1372017055 1.49509383925 0 1.49509383925 10.86892108375 10.86892108375
"2008" "46" "P" "60" 1.484591776 0.10295 0.9734 0 0.9734 9.4550105205 9.4550105205
"2008" "46" "P" "100" 1.519914068 0.0393 0.3163 0 0.3163 8.058786088 8.058786088
