year	trt	core	plot	depth	BD	TN	TC	IC	OC	CN	oCN
2008	S2	2	44	60	1.510733083	0.0913	0.8343	0	0.8343	9.138006572	9.138006572
2008	S2	2	44	100	1.540557143	0.0492	1.551	1.26	0.291	31.52439024	5.914634146
2008	S2	1	11	5	1.170662001	0.30127367	3.501817339	0	3.501817339	11.62337662	11.62337662
2008	S2	1	11	15	1.285479499	0.255706679	2.95799343	0	2.95799343	11.56791616	11.56791616
2008	S2	1	11	30	1.377958609	0.202761518	2.327090963	0	2.327090963	11.47698533	11.47698533
2008	S2	1	11	5	1.13347128	0.253792552	3.005491851	0	3.005491851	11.84231698	11.84231698
2008	S2	1	11	15	1.341568114	0.260552701	3.069169749	0	3.069169749	11.7794586	11.7794586
2008	S2	1	11	30	1.393170876	0.216891568	2.611212508	0	2.611212508	12.03925323	12.03925323
2008	S2	1	11	5	1.173662131	0.24083196	2.882996931	0	2.882996931	11.97098976	11.97098976
2008	S2	1	11	15	1.278559509	0.231680057	2.68589369	0	2.68589369	11.59311562	11.59311562
2008	S2	1	11	30	1.403093903	0.208438335	2.56922004	0	2.56922004	12.32604374	12.32604374
2008	S2	1	11	5	1.121927832	0.278904584	3.244483996	0	3.244483996	11.63295329	11.63295329
2008	S2	1	11	15	1.419921029	0.270854204	3.044122817	0	3.044122817	11.238972	11.238972
2008	S2	1	11	15	1.264303926	0.259703515	3.154281152	0	3.154281152	12.14570064	12.14570064
2008	CC	1	12	5	1.420395647	0.264765645	3.219616803	0	3.219616803	12.16025137	12.16025137
2008	CC	1	12	15	1.486386358	0.24373355	2.782858158	0	2.782858158	11.41762452	11.41762452
2008	CC	1	12	30	1.458550978	0.143277995	1.528025513	0	1.528025513	10.66476054	10.66476054
2008	CC	1	12	5	1.308333429	0.329678176	3.905465925	0	3.905465925	11.84629803	11.84629803
2008	CC	1	12	15	1.363112377	0.286965768	3.472967792	0	3.472967792	12.1023766	12.1023766
2008	CC	1	12	30	1.423877721	0.223903093	2.604010749	0	2.604010749	11.6300794	11.6300794
2008	CC	1	12	5	1.28207565	0.270339883	3.247840578	0	3.247840578	12.01391573	12.01391573
2008	CC	1	12	15	1.374755962	0.265974314	3.148927265	0	3.148927265	11.83921569	11.83921569
2008	CC	1	12	30	1.437739119	0.225653376	2.75832917	0	2.75832917	12.22374429	12.22374429
2008	CC	1	12	5	1.345106557	0.258092696	3.000691247	0	3.000691247	11.62640902	11.62640902
2008	CC	1	12	15	1.37616882	0.254316165	3.025592967	0	3.025592967	11.89697465	11.89697465
2008	CC	1	12	30	1.374057721	0.197502731	2.388623726	0	2.388623726	12.09413009	12.09413009
2008	P	1	13	5	1.024782161	0.320443019	3.822957309	0	3.822957309	11.93022498	11.93022498
2008	P	1	13	15	1.367534271	0.296529976	3.515239444	0	3.515239444	11.85458377	11.85458377
2008	P	1	13	30	1.417320671	0.218544199	2.547941208	0	2.547941208	11.65869981	11.65869981
2008	P	1	13	5	1.207525504	0.277869175	3.114532147	0	3.114532147	11.20862774	11.20862774
2008	P	1	13	15	1.384048593	0.258302914	2.972939641	0	2.972939641	11.50950872	11.50950872
2008	P	1	13	30	1.521866611	0.162946282	1.80686815	0	1.80686815	11.08873505	11.08873505
2008	P	1	13	5	1.268617801	0.232172365	2.750427883	0	2.750427883	11.84649123	11.84649123
2008	P	1	13	15	1.367076379	0.196795628	2.250830981	0	2.250830981	11.4374034	11.4374034
2008	P	1	13	30	1.437684177	0.190072797	2.314727729	0	2.314727729	12.17811159	12.17811159
2008	P	1	13	5	1.273053064	0.202755851	2.289375372	0	2.289375372	11.29129129	11.29129129
2008	P	1	13	15	1.359842267	0.18666599	2.145083854	0	2.145083854	11.49156233	11.49156233
