"year" "block" "plot" "trt" "depth" "point" "mass"
"2009" "3" "36" "CCW" "100" "80" 0.10155478775
"2009" "4" "41" "PF" "5" "2.5" 3.9573225505
"2009" "4" "41" "PF" "15" "10" 0.71033243475
"2009" "4" "41" "PF" "30" "22.5" 0.33450134775
"2009" "4" "41" "PF" "60" "45" 0.34995064175
"2009" "4" "41" "PF" "100" "80" 0.2333415595
"2009" "4" "42" "CCW" "5" "2.5" 0.03445642425
"2009" "4" "42" "CCW" "15" "10" 0.10979335125
"2009" "4" "42" "CCW" "30" "22.5" 0.124123989
"2009" "4" "42" "CCW" "60" "45" 0.128455084
"2009" "4" "42" "CCW" "100" "80" 0.12253208275
"2009" "4" "43" "CC" "5" "2.5" 0.05566037725
"2009" "4" "43" "CC" "15" "10" 0.21576819425
"2009" "4" "43" "CC" "30" "22.5" 0.130682839
"2009" "4" "43" "CC" "60" "45" 0.120927937
"2009" "4" "43" "CC" "100" "80" 0.14511352425
"2009" "4" "44" "C2" "5" "2.5" 0.047304582
"2009" "4" "44" "C2" "15" "10" 0.17084456425
"2009" "4" "44" "C2" "30" "22.5" 0.0875561545
"2009" "4" "44" "C2" "60" "45" 0.07082922025
"2009" "4" "44" "C2" "100" "80" 0.0695952615
"2009" "4" "45" "S2" "5" "2.5" 0.07035040425
"2009" "4" "45" "S2" "15" "10" 0.08656783475
"2009" "4" "45" "S2" "30" "22.5" 0.100224618
"2009" "4" "45" "S2" "60" "45" 0.131786772
"2009" "4" "45" "S2" "100" "80" 0.0739141165
"2009" "4" "46" "P" "5" "2.5" 3.065408805
"2009" "4" "46" "P" "15" "10" 1.348292902
"2009" "4" "46" "P" "30" "22.5" 0.3898921835
"2009" "4" "46" "P" "60" "45" 0.348963475
"2009" "4" "46" "P" "100" "80" 0.39017769025
"2010" "1" "11" "C2" "5" "2.5" 0.09070080875
"2010" "1" "11" "C2" "15" "10" 0.0699460915
"2010" "1" "11" "C2" "30" "22.5" 0.04424977525
"2010" "1" "11" "C2" "60" "45" 0.03664856825
"2010" "1" "11" "C2" "100" "80" 0.01122902275
"2010" "1" "12" "CC" "5" "2.5" 0.077897574
"2010" "1" "12" "CC" "15" "10" 0.09492362975
"2010" "1" "12" "CC" "30" "22.5" 0.110557053
"2010" "1" "12" "CC" "60" "45" 0.14215202375
"2010" "1" "12" "CC" "100" "80" 0.099827246
"2010" "1" "13" "P" "5" "2.5" 7.20884995425
"2010" "1" "13" "P" "15" "10" 1.81644204875
"2010" "1" "13" "P" "30" "22.5" 0.8506738545
"2010" "1" "13" "P" "60" "45" 1.46137709775
"2010" "1" "13" "P" "100" "80" 0.40634254675
"2010" "1" "14" "CCW" "5" "2.5" 0.1366127585
"2010" "1" "14" "CCW" "15" "10" 0.2021114105
"2010" "1" "14" "CCW" "30" "22.5" 0.1721473495
"2010" "1" "14" "CCW" "60" "45" 0.3399555775
"2010" "1" "14" "CCW" "100" "80" 0.09563178675
"2010" "1" "15" "PF" "5" "2.5" 1.46347708875
"2010" "1" "15" "PF" "15" "10" 0.4933962265
"2010" "1" "15" "PF" "30" "22.5" 0.2664420485
"2010" "1" "15" "PF" "60" "45" 0.613030602
"2010" "1" "15" "PF" "100" "80" 0.171520237
"2010" "1" "16" "S2" "5" "2.5" 0.050853549
"2010" "1" "16" "S2" "15" "10" 0.09011680125
"2010" "1" "16" "S2" "30" "22.5" 0.121248877
"2010" "1" "16" "S2" "60" "45" 0.30231984225
"2010" "1" "16" "S2" "100" "80" 0.14992596225
"2010" "2" "21" "CC" "5" "2.5" 0.12870619925
"2010" "2" "21" "CC" "15" "10" 0.162848158
"2010" "2" "21" "CC" "30" "22.5" 0.159119497
"2010" "2" "21" "CC" "60" "45" 0.3342793685
"2010" "2" "21" "CC" "100" "80" 0.223716683
"2010" "2" "22" "S2" "5" "2.5" 0.03989218325
"2010" "2" "22" "S2" "15" "10" 0.07475292
"2010" "2" "22" "S2" "30" "22.5" 0.12717879625
"2010" "2" "22" "S2" "60" "45" 0.20125863775
"2010" "2" "22" "S2" "100" "80" 0.149555775
"2010" "2" "23" "PF" "5" "2.5" 1.350359389
"2010" "2" "23" "PF" "15" "10" 0.670035939
"2010" "2" "23" "PF" "30" "22.5" 0.41805929925
"2010" "2" "23" "PF" "60" "45" 0.64967917075
